professor,review,tags
Drew  Harvell,,[]
Simone  Pinet,"Simone, aside from having written five books in different languages, is a passionate and caring professor. I love her and her classes!","['Gives good feedback', 'Participation matters', 'Get ready to read', 'Hilarious', 'Inspirational']"
Cheng  Zhang,,[]
Luisa  Cortesi,,[]
Earl John Kirkland,"Prof. Kirkland is quiet which can make staying awake hard but he's a great teacher with a good sense of humor. He's always around during labs and is friendly/non-judgemental if you need extra help. The labs for this class are tedious and grindy, though, so make sure you don't fall behind. Weekly homeworks are short.","['Gives good feedback', 'Accessible outside class']"
Sirietta  Simoncini,,[]
Joseph J. Wakshlag,,[]
Sophia  D'Ignazio,,[]
Lindy  Williams,,[]
Elizabeth A. Berliner,,[]
Dan Mihai Barbasch,"I would have given him the lowest score if it weren't for his generous office hours. Professor Barbasch has a thick accent and expects you to know a lot of difficult material. He speeds through his lectures and it's very tough to do well in his course. However, he's there for you if you go to his office hours. He admitted that he has to speed through the course because he has to cover a lot of material. Overall, not bad if you try. He decided to randomly not curve the class at the end and let me know my grade wasn't based on averages, after giving me a C+. I had always been above the mean and median. Disorganized and very difficult Painfully dull lectures and a thick accent.  The tests weren't horrible, though.","['Tough grader', 'Lots of homework', 'Caring', 'Lecture heavy', 'Accessible outside class']"
Greg  McLaskey,,[]
Tom  Gilovich,The best professor I have ever had. Class is interesting and thought-provoking; tests are very fair and doable if you do the readings. 10/10 would recommend!!!,"['Inspirational', 'Respected', 'Tough grader', 'Amazing lectures', 'Get ready to read']"
A.J.  Edwards,,[]
John  Cawley,"Great lecturer who always comes to class prepared. Cawley's class was my only class I actually looked forward to going to. Highly recommend taking a class with him, especially for PAM majors","['Amazing lectures', 'Participation matters', ""Skip class? You won't pass."", 'Respected', 'Graded by few things']"
Kit-Yee Daisy  Fan,,[]
Brian  Dillon,,[]
Shankar  Sen,His lectures are truly fantastic. He takes a unique approach towards material that you may have already seen before and opens your eyes to a deeper understanding.  Truly different from any other math class you will have.,"['Inspirational', 'Hilarious', 'Caring', 'Respected', 'Amazing lectures']"
Thomas Joseph Kern,,[]
Gregory  Besharov,"absolutely loved this course! challenging content but very doable, and bersharov is very thorough and concise with his lectures. Prelims are exactly like the problem sets, very fair and no surprises, the curve is also pretty generous. would definitely recommend.","[""Skip class? You won't pass."", 'Tough grader', 'Clear grading criteria', 'Amazing lectures', 'Caring']"
Teresa  Porri,,[]
Kevin C Packard,"Statistics is a dry subject. That said, I found that Packard made a real attempt to keep lectures interesting. He provides detailed notes that you're able to print out and fill in during lecture. The class was more math heavy than other sections; if you like math take it with him. I found him to be accessible and friendly.   PS - Cornell's hard.","['Accessible outside class', 'Caring', 'Clear grading criteria', 'Lecture heavy', 'Tough grader']"
Thierry A. Torea,,[]
Michael P. Toglia,,[]
Elisabeth Haly Meyer,Loved this Intro to Printmaking! At the end of my semester I got to take my work to the Print Fair in NYC. Hard work - but worth it.,"['Gives good feedback', 'Inspirational', 'Tough grader', ""Skip class? You won't pass."", 'Group projects']"
Terence  Alexander,"Terry is by far my favorite professor here at Cornell. He is kind and understanding to all of his students. I know someone who slept through their prelim, only to email Terry in a panic and find out that he would be allowed to make it up the next day. He is also funny and even though attendance is usually mandatory, it is well worth it to show up.","['Accessible outside class', 'EXTRA CREDIT', 'Hilarious', 'Caring', 'Respected']"
Francois V. Guimbretiere,Very helpful and passionate!   Most hands-on prof I've ever seen.,"['Group projects', ""Skip class? You won't pass."", 'Tests? Not many', 'Graded by few things']"
Christina  Delimitrou,"Super interesting class on datacenters and cloud computing! Prof. Christina clearly is an expert in this area and it shows! You do a research project during the semester in groups, and Christina was super helpful in guiding us, pushing us to do more, and making sure the end project is high quality. Got a conf publication out of this class!! :)","['Amazing lectures', 'Participation matters', 'Inspirational', 'Group projects', 'Respected']"
Natalia Cristina Garcia,,[]
Mateo  Diaz Diaz,,[]
Patrick J. Sullivan,,[]
Carolina  Ciampaglia,,[]
Ileen A. Devault,"Interesting professor who presents interesting material, but lectures had the tendency to be very dry. I appreciated that she made an effort to learn students' names and was accessible for questions. There were about 2 extra credit opportunities. A lot of reading, but skimming is ok. Weekly reading quizzes during discussion section, not so bad.","['Get ready to read', 'EXTRA CREDIT', 'Lots of homework', 'Gives good feedback', 'Tests? Not many']"
Tj  Hinrichs,"She is a great professor. I absolutely enjoyed taking her class. I improved tremendously as a write (better than my FWS). She is really understanding of the competitive culture that exists at Cornell, and will sometimes end class early because she knows we need a break. Readings of about 80-100+ pages a week. Density of the readings fluctuate.","['Get ready to read', 'Gives good feedback', 'Participation matters', 'Lots of homework', 'So many papers']"
Ellen  Gallin Procida,,[]
Randy W. Worobo,Great guy good teacher,"[""Skip class? You won't pass."", 'Respected', 'Accessible outside class']"
Sherif Zaki Nasser,,[]
Russell  Rickford,,[]
Meredith L. Miller,,[]
Lisa Marie Schneider-Bentley,,[]
Dan  Cosley,"Sometimes his explanations for things are long or ambiguous. Emphasis on sometimes; other times, answers to questions or feedback are straightforward and helpful.  Lectures were deadly, your grade is basically made up entirely by the final project and the course was structured horribly. This guy is awesome. He is one of the better lecturers I've had at Cornell. He's a no BS kind of professor and says it as it is. He expects you to do a lot of the learning on your own but his lectures are a great supplement. He's a funny guy and super enthusiastic about the content. Definitely would recommend. (1300 is a bit of work though). Surprisingly well spoken teacher. I really enjoyed the class and it wasn't too tough. I usually give teachers low marks on this site, but I truly give danco a 5/5. He's so personable - it's almost as if he was a student here as opposed to a teacher. Highly recommend this class / teacher Had a few years ago, and it felt like being trolled; have not commented b/c it seemed like just a bad personal fit. But looking back, realized something: he's clueless about differences of learning styles and situations in his students. With a huge amount of work, don't expect flexibility: an unconventional class, and miserable if you don't fit it.","['Hilarious', 'Respected', 'Group projects', 'Clear grading criteria', 'Inspirational']"
Mark R. Cruvellier,,[]
Peter Ishmael Osorio,,[]
Corrie  Moreau,,[]
Jenny C. Mann,"Jenny Mann is pure sunshine. Going to her class is always the best part of my day! I've taken her Lit Tradition and Utopias, and she is simply amazing! So intelligent and gives wonderful lectures! Try to get her for your discussion (though TAs are fine) just so you can spend more time with her. Take Utopias! (even if your an engineer!) She is AMAZING. One of the best teachers at Cornell, hands down. Jenny is by far the best teacher I've had at Cornell. Very passionate about the subject, extremely knowledgeable, and very interested in her students. I went into the course wanting to get it over with, but it turned out to be one of my favorite classes thus far. I definitely recommend her! Professor Mann is great.  Class is interesting and her enthusiasm is contagious. I would definitely recommend taking a small class with her ( She is a great teacher who will get you excited about Shakespeare and teach you how to write. Take her class.",[]
Carolyn S. Sevier,,[]
Amanda D. Rodewald,,[]
Stuart Arrowsmith Davis,"Loved this class, despite not being a huge Shakespeare fan. He tends to ramble a bit, but his asides are usually very interesting. The essays and texts we read were great and assignments are graded fairly with extensive feedback. The final project is also awesome. Definitely take this class!","['Gives good feedback', 'Hilarious', 'Get ready to read', 'Amazing lectures', 'Would take again']"
Matthias Ulf Liepe,"Liepe made PHYS 2214 not only survivable but very interesting. As a MechE, it is a requirement, and my experience in the class made me actually consider doing AEP instead. All prelim studying can be done from lecture materials, and Liepe is a VERY fair grader on prelims. He is also just a nice guy, is approachable, and will always answer questions",[]
Teresa Eileen Jordan,,[]
Francoise  Vermeylen,,[]
Hannah  Phan,,[]
Gennady  Uraltsev,,[]
Chekesha M. Watson,,[]
Traci M. Nathans-Kelly,Gives off the vibe of a high school english teacher and has a very self-centered attitude. Lectures feel very useless.,['Group projects']
Neil  Tarallo,"This class is a lot of work due to weekly presentations and team meetings but you learn a lot about entrepreneurship. It is also a class that you can mention in interviews since it is so unique. Even with the workload, the grades turn out fine and there are opportunities for extra credit at the end of the semester.","['Accessible outside class', 'Gives good feedback', 'Respected', 'Participation matters', 'Group projects']"
Esteban  Gazel,,[]
Marcel  Preuss,,[]
Justin  Murfin,,[]
Jessica Ann Caporizzo,,[]
Sid  Banerjee,,[]
Erin Marie Green,,[]
Kevin C. Nixon,,[]
Nina Lauren Bassuk,,[]
James Eric Cutting,"I didn't read the textbooks, just did my best to memorize the glossary terms from the assigned readings. I took extremely detailed notes of everything he SAYS. Memorize everything you can. His delivery of the lecture was most important. I learned a lot in this class and appreciate Prof Cutting's dedication and passion for these topics :D","[""Skip class? You won't pass."", 'Graded by few things', 'Get ready to read', 'EXTRA CREDIT', 'Amazing lectures']"
Jon  McKenzie,,[]
Joseph B. Yavitt,"This guy is the man- super funny and energetic. Four decent length research papers give the class a guise of difficulty but the overall approach to grading is that if you show up and try you do fine. Pop quizzes once a week kind of require to go to class every time, but lectures aren't bad.","['Hilarious', 'Beware of pop quizzes', 'Caring', 'Inspirational', 'Amazing lectures']"
Bart  Selman,"I have never taken a class this organized. First hw answers wasn't posted until a day before midterm. The midterm was basically the same as last years so half the class got 100s. Only 2 hws total, 3rd made extra credit bc it was due during finals. No practice questions for the exams after promising some. Nothing really to study from at all. A joke! Incredibly disorganized. Boring, repetitive lectures on interesting topics. Put me to sleep every time. Lectures are vague and about the history of whatever we're discussing, but have no substance. Then the tests and homework are technical, which is unfair. Would not recommend Lectures are a bit dry, but he is a very nice guy, helpful and very approachable outside of class. He is definitely knowledgeable in AI and I believe it would be fun for someone who is really into the material. Somehow makes an interesting topic seem boring. Lectures were very dry. Hws and midterm were fairly easy. Don't know if I'm just stupid, but final seemed to be ridiculously hard. Like way harder than anything we had seen before. Would not recommend. Very hard to understand.","['EXTRA CREDIT', 'Lots of homework', 'Lecture heavy', 'Graded by few things']"
John R. Mathiason,,[]
Claudia  Lazzaro,"boring class, but good professor Very interesting and engaging lecturer, but incorporates lots into each so pay attention and take lots of notes.  You need to know A LOT for the exams, but a very fair grader. GREAT professor!  She's extremely fair and is willing to help. She returns every bit of respect you give her. Difficult tests, though, so pay attention. Professor Lazzaro is an amazing teacher and a superb lecturer.  She is clearly passionate about her field, which helps to incite passion in others.  The class was very interesting and has caused me to consider a major in the field.  She holds her students to a high standard, but is always available to answer questions. I am an ARTH major and took this for my major requirements. Prof. is very detailed, very engaged in materail. Don't go to lectures tired, you need to take meticulous notes! Don't forget to study architecture as those appear on tests in add. to paintings. Unfor. TA graded unfairly so overall grade suffered. Hard for 200-lvl class but interesting.",['Would take again']
Jane L. Benson,,[]
Karen Lynn Snover-Clift,,[]
James  Grimmelmann,,[]
Louis A. Derry,"If you get Lou going, he won't stop talking. The guy clearly loves his field, but can be monotonous after 2hrs of lecture in lab. Great guy though.",[]
Misako Terashima Chapman,,[]
Damek Shea Davis,He literally copy pastes questions from the textbook for his test questions. Nice Meme.,"['Tough grader', 'Amazing lectures', 'Gives good feedback', 'Lots of homework']"
Park Atkinson Doing,"Professor Doing is the best professor I've been taught by. He is really funny, the lectures and essays are really chilled out on one level, and yet, on another, he's actually teaching us meta-epistemology, without any of the jargon. He really made me think about ethics in a completely different light; I highly recommend him.","['Graded by few things', 'Would take again', 'Get ready to read', 'Participation matters', ""Skip class? You won't pass.""]"
Lauren  Korfine,,[]
Jason G. Mezey,"Jason Mezey's class is not easy, but he isn't kidding when he says he'll teach you everything you need to know about GWAS. Lectures move quickly and cover lots of material, but are taped so you can review them later. Responsive to student feedback and allows ample time for questions in class. Very helpful in office hours.","['Amazing lectures', 'Inspirational', 'Respected']"
Kate L. Bronfenbrenner,"Without a doubt the most important labor-focused professor in the ILR School. Sometimes confusing, sometimes off-topic, but highly regarded, extremely knowledgeable, and has real-world experience beyond academia. Take her classes before she retires because the ILR School won't have anyone like her for a while","['Get ready to read', 'Inspirational', 'Tough grader', 'Respected', 'Accessible outside class']"
James M. Spinazzola,,[]
Ori  Heffetz,,[]
Volodymyr  Kuleshov,,[]
Jessica  Hawkey,,[]
Fenton  O'Shea,,[]
Ursula  Krotscheck,,[]
Lawrence  Gibbons,"Professor Gibbons did a fabulous job with the course. His homework was interesting, his tests were consistently middle-of-the-road fair, and he did a fabulous job making his lectures engaging and interesting. As with any physics class, expect to spend time reading the textbook. This course was a joy.","['Would take again', 'Caring', 'Respected', 'Tough grader', 'Get ready to read']"
Eric  Denker,,[]
Bryn Rachel McCammon Rosenfeld,,[]
Derina S. Samuel,,[]
Fengqi  You,"Prof You is the best professor I have had in my 22 credit hours of experience at Cornell. His lectures are engaging, course content is relevant and interesting, and homework &amp; exams are fair. His focus on students and their success makes me appreciate my time at Cornell. He has set the standard to which all other course delivery should be measured","['Amazing lectures', 'Accessible outside class', 'Inspirational', 'Caring', 'Respected']"
Susannah B. Fine,,[]
Alison  Shea,"Very caring and reasonable professor. You will get an A if you attend class, do the readings, and complete the homework assignments, of which there are many.","[""Skip class? You won't pass."", 'Lots of homework', 'Beware of pop quizzes']"
Aoise A. Stratford,,[]
Ana Smaranda Sandu,,[]
Alexander  Rush,,[]
Marnie  FitzMaurice,,[]
Bradley J. Rickard,,[]
Erik Christopher Born,,[]
Qiaomin  Xie,,[]
Jonathan  Cicoski,,[]
Christopher  Kanan,,[]
Scott  Steinschneider,,[]
Mark Alexander Mandych,,[]
Bruce C. Monger,Bruce is really amazing. Makes it really easy to do well even if you struggled on the first prelim (or two). Really cares about the topics and wants the class to care too. His class is a must take for all Cornell students and one of the only classes that you'll actually come out of knowing something.,"['Amazing lectures', 'Caring', 'Respected']"
Mark B. Milstein,,[]
Heather A. Kolakowski,,[]
Marie  B.Langlois,,[]
Stephen Robert Marschner,Great professor who is very accomplished in Graphics. A class is hard with a lot of work and a median grade of B so make sure you have time and are interested in the subject. He is monotone in lecture but very knowledgable and descriptive. Fair and easy to access.,"['Tough grader', 'Lots of homework', 'Caring', 'Respected', 'EXTRA CREDIT']"
Douglas M. McKee,,[]
Saleh  Kalantari,,[]
Greeshma  Gadikota,,[]
Michela  Baraldi,she is really the best! such a genuine person and really cares about her students and wants them to do well. very chill as long as you put in the work (she doesn't assign too much) and makes learning the language really enjoyable.,"['Hilarious', 'Participation matters', 'Inspirational', 'Caring', 'Respected']"
Ying  Hua,,[]
Andrea S. Bachner,She was a great teacher! I took Cannibalism Cultures with her and really didn't think she deserved a bad grade on here. Essays often have a draft phase and you will receive plenty of feedback before you turn in a final draft. Really nice about one day extensions too and will make accommodations for you if you are feeling overwhelmed.,"['Participation matters', 'Gives good feedback', 'Caring', 'Graded by few things']"
Hadas  Ritz,"Great lectures, definitely worth getting up before 8am for. Could actually do the hw on my own. Unfortunately, the exams were written by a different professor so that wasn't too great. Very good at explaining complicated topics in an understandable way and very patient.","[""Skip class? You won't pass."", 'Lots of homework', 'Respected', 'Tough grader', 'Amazing lectures']"
Joseph P. Amsili,,[]
Itziar  Rodriguez de Rivera,"Interesting readings and movies picked for class. You can tell that she was very interested in the topics that we discussed. Sometimes I was so entertained by the discussions we had in class that I forgot that it was a writing seminar. It is easy to do well in the class, but she will make you work in order to get an A.","['Participation matters', 'Gives good feedback', 'Inspirational', 'Caring', 'So many papers']"
Claire  Menard,The information is very accessible and Professor Menard teaches in a way that is easy to understand without making it feel too hard.,"['Lots of homework', 'Participation matters', ""Skip class? You won't pass."", 'Gives good feedback', 'Caring']"
Daniel  Blackaby,,[]
Stephan J. Schmidt,"In all my years as a student, Professor Schmidt is, without a doubt, the most DISCOURAGING instructor I have ever had. His lectures are disorganized & have next to nothing to do w/the labs, the work we have to do. He has no idea what he is talking about. It's shameful that CU pays this uncaring man. The visiting lecturer should be THE GIS prof. His lectures are boring and repetitive. But the load of work for the class is heavy. In fact, he is quite helpless in supporting the tasks. The most surprising thing is, after all these bad aspects, he is such a harsh grader. I would not take his class ever again. Schmidt graded the one pagers harshly, without giving any feedback. Classes were boring, learnt nothing new. Really easy class, just plain boring. I never went to lectures and still got a good grade. I found Professor Schmidt very accessible and willing to help students","['Tough grader', 'Lots of homework']"
William A. Jacobson,,[]
Annelise  Riles,,[]
Julia  Sumner,,[]
Steven Elias Alvarado,,[]
Claudia  Verhoeven,"She is amazing and very, very helpful and patient during the several times that I went to her office hours. She not only helped out in reading my paper and outlin but also gave me more perspectives of the trial that we studied. I feel that she took enough time and care with me in all the times that I went for help, and anyone should take her!","['Clear grading criteria', 'Gives good feedback', 'Hilarious', 'Caring', 'Respected']"
Jin  Suntivich,,[]
Thomas B. Hambury,"He is a nice guy but will kill your GPA if you don't give him exactly what he wants. He will give you feedback on your paper and then give you a low grade because he will find other mistakes that he didn't find before. Avoid taking his class. If you don't have EXACTLY what he wants, expect a C or lower on your assignments. He is an extremely tough grader but once you understand what he's looking for youre fine. Terrible teacher. He makes no sense. Shouldn't be teaching. He is a nice and interesting professor. He is also a hard grader but the class is easy if you do your work. He has no consistent way in grading and just grades on his whim. He definitely plays favorites and is a terrible teacher. As a ManComm teacher who teaches communication skills, you would think he would be better at communicating his own ideas. It's literally ""my way or the highway"" in his class.",[]
Nils  Napp,"It seems that he was just thrown into teaching this class without really preparing for it at all. Since he is a new professor at Cornell, that may be his fault or someone else's fault, but either way, the class is a complete mess and no one knows what's going on. Forcing partners for group projects tedious and boring lecture Yes, i am mad",[]
Natoshia Camille Spruill,,[]
Maria Theresa  Savella,"The professor, in general, is interesting and she tries to be like a mother to most of her students. She cares about her students, and in Tag3302 there are no exams but there are a lot of essays. During discussions, it would be best if you really know the language or else you will have a hard time. Grading is based on your progress.","['Gives good feedback', 'Lots of homework', 'Caring']"
Vishal  Gaur,Worth attending his lectures,"['Amazing lectures', 'Gives good feedback', 'Caring']"
Cecelia  Lawless,,[]
Corey Ryan Earle,Fantastic instructor. Never knew there was so much behind the history of the University!,[]
Grant Aubrey Farred,,[]
Carl A. Ostendarp,"This is a horrendous class! Do not take it! Worst person I have ever met. Likes to destroy young artist dreams and take his failure out on others.  Took an intro painting class due to my love for art despite the fact that I'm in a completely unrelated major. While he will give feedback and is usually clear, originality is not rewarded and you will not get a good grade if you deviate from his strictly defined personal preferences. Ironic that creativity isn't rewarded in an art class, esp intro A quirky man, but an amazing teacher and a painter who's work is to be admired.  He will teach you so much if you listen, but he tends to favor work that is similar to his own, so stick to your guns and don't let him change your style. If you care he cares. If you don't he doesn't. The smartest person I know.",['Tough grader']
Samia  Henni,,[]
Randy O. Wayne,Boring at times; though makes a difficult subject easy. Great person - invited the class over to dinner at his house!,"['Caring', 'Respected', 'Inspirational', 'Accessible outside class']"
Thomas Denis O'Rourke,,[]
Christina Lee Yu,,[]
Karen  Levy,,[]
Sarena Stacey Tien,,[]
Eric C. Ledbetter,,[]
James Philip Lassoie,,[]
Jason B. Rooks,,[]
Michael Ryan Clarkson,,[]
Justine E. Vanden Heuvel,"Justine is a great professor to learn from. She is stern, but forgiving if you make a consistent effort I took Viticulture and Vineyard Mngmt. with Vanden Heuvel, and she was an excellent Professor. She is a master of her topic, gives very fair assignments and quizzes (no exams), and is all around very energetic and helpful. I could not ask for a better instructor in viticulture, and this course will help endlessly in my career in grape growing.",[]
Lillian  Lee,"Lee is an incredible professor! She didn't lecture for 1110 (Bracy did) but she crafted all the labs and assignments. The labs were immensely helpful in learning new material and the assignments--though rather difficult--prepared you greatly for exams. She's always willing to help: talking after class, responding on Piazza, or meeting individually.","['Caring', 'Amazing lectures', 'Would take again', 'Gives good feedback', 'Inspirational']"
Michael Lewis Goldberg,"Funny guy with a rich history in the field of molecular biology (he discovered the TATA box!). However, very disorganized and lectures can be very boring. At the end of the day, using CRISPR to edit a fly's genome is cool, even though the lectures are boring, which makes this class bearable.","['Tough grader', 'Get ready to read', 'Participation matters', 'Hilarious', 'Lecture heavy']"
Warren Douglas Allmon,"This class was absolutely amazing, definitely my favorite class so far! I can't wait to take paleobiology next year! Just two tests and your discussion grade, but if you pay attention and participate, you're solid.","['Inspirational', 'Amazing lectures', 'Hilarious', 'Respected', 'Get ready to read']"
David N. Bonter,"There is no one at Cornell that will care about you, help you, or teach you more than Dave did for me.","['Inspirational', 'Caring', 'Respected']"
Carolyn Jane Goelzer,,[]
Bilal Mohammad Ibrahim Al-Omar,"Bilal is a really nice teacher who truly cares about the students learning Arabic! He is very knowledgeable, doing his best to make sure everyone is getting used to listening and speaking Arabic every day. He couples this with being lax in terms of class atmosphere, and we all felt an inviting structure to the classroom due to of his personality :)","['Lots of homework', 'Hilarious', 'Caring']"
Julieta  Caunedo,"Nice but relatively new -- slides still had some errors, but she corrected them in class. Does a pretty good job explaining in lecture. Discussion helps too.   Practice prelim/finals from previous semesters weren't very exemplary of the actual prelims/final, especially the 2014 ones.   HW was easy (1-2 hrs/pset). Tests were easy, uncurved.","['Participation matters', ""Skip class? You won't pass."", 'Would take again', 'Lots of homework']"
Kurt Anders Jordan,Professor Jordan's lectures were easy to follow and thoughtful and this made the material understandable for someone like me who had literally zero knowledge of archaeology/anthropology. He is caring and kind and easy to approach: he wants to help! Pro tip for class: take notes on the readings as you go along--will make the papers so much easier.,"['Caring', 'Respected', 'Participation matters', 'Amazing lectures', 'Gives good feedback']"
Seth  Sanders,,[]
Amy K. Somchanhmavong,,[]
Nancy  Pollak,"Nancy is the best! I feel so blessed to have taken her class and get to know this truly wonderful human being. She is my role model: a knowledgeable, humble, caring, kind, strong and altruistic beautiful lady. Compared to some other professors and their lackluster courses that sometimes make me doubt my education, Nancy is the light of hope.","['Gives good feedback', 'Respected', 'Would take again', 'Amazing lectures', 'Caring']"
Tamer  Uyar,,[]
Jerrie  Gavalchin,"Jerrie is an amazing professor and extremely kind and helpful, especially to pre-vet students. She has an enormous wealth of experience and knowledge that she is happy to share, and does so frequently through her courses and while advising students. Definitely take her class, and get to know her! Dr. Gavalchin is amazing! The best professor at Cornell, insanely helpful to all students, especially pre-vets! Dr. Gavalchin is amazing! So helpful and always responds to emails quickly. Lectures are straightforward, sometimes she can be a little quiet and not energetic while lecturing but she clearly knows what she's talking about. Exams are very reasonable. Professor Gavalchin is always willing to help and provide excellent advice.  Definitely a professor that you should have as an advisor if you are pre-vet.  Also, the class was pretty helpful and interesting, it shows you what else is out there.",[]
Ed  Walters,,[]
Brandon K Tripp,"Great Professor, very nice person, easy to talk to. If you go to office hour he will explain everything to you very clearly until you understand. Lectures are clear and organized. If you go to lectures and listen to him, you will do great","['Amazing lectures', 'Inspirational', 'Respected', ""Skip class? You won't pass."", 'Hilarious']"
Roger F. Loring,"Best organized professor I've ever had. He explained things clearly and excelled especially at teaching one-on-one in office hours with a socratic method. The content can sometimes be dry. Take good notes during class, try hard on the problem sets (go to office hours if you need!), and you'll ace the tests. Very reasonable course.","[""Skip class? You won't pass."", 'Respected', 'Tough grader', 'Amazing lectures', 'Clear grading criteria']"
Bruce Robert Land,"One of the best classes at Cornell, but it is a life-consuming amount of work. Bruce dedicates the majority of his time to the class and is always available to help you succeed at the incredibly daunting lab assignments.","['Group projects', 'Get ready to read', 'Respected', 'Accessible outside class', 'Would take again']"
Dan  Lamb,,[]
Richard Thomas John,,[]
Daniel A. Barbash,"If the class median on a test is failing, then the solution is not simply to ""curve it up"" to a B, the solution is to FIX HOW YOU TEACH. If most of the class is failing, then you are failing as a professor. Grade inflation won't fix that. I'd rather earn a fair grade and actually learn something. This is a very hard course, but Barbash is willing to answer any questions during office hours and is always kind and patient. Grades are based almost entirely on prelims and the final despite there being weekly quizzes and assignments. Also there is simply too much material covered in this course, needs a discussion section and to be 4 credits rather than 3. Honestly, enough content for a full year rather than a semester. Very hard problem sets Barbash is a good lecturer.  It's a really hard course no matter who you take it with but Barbash is really nice and is happy to answer questions.   Prelims were tough (means were in the 50's for all 3 of them) and the class is curved to a B. ","['Tough grader', 'Get ready to read', ""Skip class? You won't pass."", 'Graded by few things', 'Lecture heavy']"
Byoung-Hyoun  Hwang,,[]
Aziz  Rana,,[]
Kieran Patrick Donaghy,,[]
Muna B. Ndulo,"This professor is by far the most knowledgeable on South African law and constittuion. His first hand accounts working in South Africa during the transition with Mandela, Joe Slovo, Chris Hani and others is extraordinary.  he is very humble, modest and a great professor. Totally teh best .  Intelligent, extremely knowledgable, very helpful.  Totally above the extraordinary. Prof. Ndulo was awarded one of three recipients of the first annual Awards for Excellence in the Teaching, Advising and Mentoring of Graduate and Professional Students. This is an excellent professor and engages his students in practical application of the law. The kindest professor you'll ever meet; so approachable, helpful and easy to talk to. His classes were really interesting and he was very engaging. I highly recommend his International Criminal Law seminar! Professor Ndulo is an awesome professor.  He has travelled to some hot spots  (Kosovo, East Timor, Afghanistan, South Africa)and brings his experience into his classroom which rocks!  PhD from Oxford, LLM from Harvard, knows his stuff!  Very helpful, strict but very approachable.His International Law and Foreign Direct Investment is the best !",[]
Robert J. Bloomfield,,[]
Sarah J. Wright,,[]
Timothy J Sayers,,[]
Michael  Bryant,,[]
Mary Pat P. Brady,,[]
Adam Seth  Litwin,"Dr. Litwin is caring towards his students. He tries to keep the environment light and fun, and he encourages participation. Reading was minimal, exam papers were not difficult. Good professor to teach this class.","['Graded by few things', 'Participation matters', 'Hilarious', 'Get ready to read', 'Group projects']"
Warren Dennis Cross,,[]
Glen W.S. Dowell,,[]
Michael  Jauch,,[]
David Craig Nichols,,[]
Scott C. MacDonald,"MacDonald is brilliant. His lectures are engaging, and meeting with him 1 on 1 was one of the experiences that made me thankful for being a Cornellian. I became a better critical thinker and writer. Though he lags behind on grading assignments, he is fair with his grading. Not an easy A, but definitely worth the effort.","['Inspirational', 'Participation matters', ""Skip class? You won't pass."", 'Gives good feedback', 'Accessible outside class']"
Laurent Pascal Saloff-Coste,"I'd go easy on him. Yes, he has a thick French accent but his English is easily understandable. I don't know what everybody is talking about saying that he is unhelpful or mean. To me he comes across as really polite and caring. I had never had a problem with him per se,but I agree that he made the midterms very easy but the opposite on the final","['Tough grader', 'Get ready to read', 'Test heavy', 'Lots of homework']"
Jose F. Martinez,"The class was quite challenging but really interesting. Exams were really difficult but if you understand the lectures properly you should be okay. The professor is very passionate about the material and thats really inspiring. Overall, very helpful class. Learned a lot.","[""Skip class? You won't pass."", 'Hilarious', 'Tough grader', 'Beware of pop quizzes', 'EXTRA CREDIT']"
Samuel Mayer Nelson,,[]
Kenneth S. Rother,,[]
Locksley  Edmondson,"Lot of information to process. Fairly interesting lecture with movies. Very few tests but stuff from the tests are mentioned in a random few of the many readings. Pretty picky when he grades his long papers but you have plenty of time to do them. You can skip class and forgo the grade bump but make sure to not get lost. DO NOT TAKE THIS CLASS PERIOD!!  His grading is harsh and condescending considering he doesn't give any guidence or instruction on assignment requirements. He loses and forgets everything. He needs to retire. Worst class ever. Don't take the course...not even to fill a requirement. The instructor was unprepared,disorganized & just plain terrible. His knowledge of the material was good; however, his disorganization made myself and others grow disinterested with the course. There was quite a bit of ambiguity surrounding grading rubric. You basically didn't find out what his requirements were until after the fact. He was rude. Very interesting guy. Very interested in what he teachers about.  Great sense of humor.  Although he didn't cover the cultural component of the class, I learned a lot about Africa and his enthusiasm has definitely helped mine grow.  Good introductory class.","['So many papers', 'Tough grader', 'Participation matters', 'Tests? Not many', 'Lecture heavy']"
Marcelo  Aguiar,"He is amazing. He explains math so carefully/simply that anyone who pays attention will understand everything eventually. This was the only class where I didn't miss a single lecture because if you do you'll miss his great explanations. Go to class, do your homework, and do the exam handouts before every exam. And you'll do great","['Amazing lectures', 'Respected', ""Skip class? You won't pass."", 'Tough grader', 'Would take again']"
"Christopher J. Hernandez, Professor","Not sure why this guy gets such a bad rep on RMP. I think he was a solid professor. Very reasonable tests and assignments. I found the course material to be extremely interesting, and he was very passionate about the subject as well. He outlines everything you should expect to be on exams very clearly, and they usually follow homework. Awesome prof","['Tough grader', 'Tests are tough', 'Clear grading criteria', 'Inspirational', 'Lots of homework']"
Shorna Broussard Allred,,[]
Isaac B. Weisfuse,,[]
Souad  Kherbi,,[]
Shefford P. Baker,"Very knowledgeable, the course definitely provides a good preview for prospective matscis. Baker has this idea that the ideal test mean is a 50, so the tests are correspondingly difficult, but the class is curved so don't be scared. Labs and homework were pretty substantial, but they did help me learn the material better.","['Respected', 'Tough grader', 'Group projects', 'Amazing lectures', 'Gives good feedback']"
Yue  Du,,[]
